unique,episode-name,season,length,rating,date,tone,recurring ,writers,cast,scream,gory,plot,background,action,funny,cry
SU101,Pilot,1,90,8.7,2011,humor,9,1,46,1,1,1,11,1,1,0
SU102,Errors and Omissions,1,60,8.2,2011,serious,9,3,14,0,1,0,5,0,1,0
SU103,Inside Track,1,60,8,2011,serious,9,3,17,1,1,0,7,1,1,0
SU104,Dirty Little Secrets,1,45,8,2011,romantic,9,3,24,1,1,1,7,1,1,1
SU105,Bail Out,1,45,8.1,2011,humor,9,3,21,1,1,1,7,0,1,1
SU106,Tricks of the Trade,1,42,8,2011,ironic,9,3,20,1,1,0,8,0,0,1
SU107,Play the Man,1,42,8.5,2011,humor,9,3,13,0,1,0,4,1,1,0
SU108,Identity Crisis,1,43,8.1,2011,ironic,9,3,19,0,1,1,5,1,1,1
SU109,Undefeated,1,45,8.3,2011,ironic,10,3,15,1,1,1,4,1,1,1
SU110,The Choice,1,45,8.3,2011,serious,10,3,19,1,1,1,4,0,1,1
SU111,Rules of the Game,1,45,8.4,2011,serious,11,3,13,1,1,0,4,0,0,0
SU112,Dog Fight,1,45,8.8,2011,romantic,10,3,16,1,1,0,4,1,1,0
SU201,She Knows,2,48,8.9,2012,serious,9,3,16,1,1,1,4,1,0,0
SU202,The Choice,2,43,8.2,2012,melancholic,11,3,14,0,1,1,3,0,1,0
SU203,Meet the New Boss,2,43,8.2,2012,romantic,10,3,17,1,1,1,4,1,1,1
SU204,Discovery,2,43,8.4,2012,humor,10,3,14,1,1,1,4,0,0,0
SU205,Break Point,2,43,8.7,2012,humor,9,3,16,0,1,1,4,1,1,1
SU206,All In,2,43,8.4,2012,ironic,9,3,19,1,1,0,6,1,1,0
SU207,Sucker Punch,2,43,9,2012,serious,9,2,14,1,1,0,3,1,1,0
SU208,Rewind,2,43,8.5,2012,romantic,10,3,16,1,1,0,6,1,1,1
SU209,Asterisk,2,43,8.7,2012,romantic,11,3,17,1,1,0,5,0,0,1
SU210,High Noon,2,43,9.1,2012,melancholic,11,2,11,1,1,1,4,0,0,0
SU211,Blind-Sided,2,43,8,2013,ironic,9,2,19,0,1,1,8,1,0,1
SU212,Blood in the Water,2,43,8.4,2013,ironic,10,2,11,1,1,1,3,1,0,0
SU213,Zane vs. Zane,2,43,8.2,2013,humor,10,2,12,1,1,0,3,0,1,1
SU214,He's Back,2,43,8.4,2013,humor,10,2,14,0,1,1,4,1,0,1
SU215,Normandy,2,43,8.3,2013,serious,12,2,13,1,1,1,4,0,1,0
SU216,War,2,50,8.6,2013,serious,12,1,9,1,1,0,3,1,0,1
SU301,The Arrangement,3,47,8.3,2013,serious,11,1,17,1,1,1,6,1,1,0
SU302,I Want You to Want Me,3,43,8.3,2013,melancholic,10,2,13,1,1,1,3,0,0,0
SU303,Unfinished Business,3,44,8.2,2013,serious,9,2,11,1,1,1,4,0,1,1
SU304,The Stag Party,3,43,8.2,2013,ironic,9,2,15,1,1,0,4,0,1,1
SU305,One-Two-Three Go...,3,42,8,2013,romantic,10,2,17,0,1,0,7,1,1,1
SU306,The Other Time,3,43,8.6,2013,serious,11,2,17,1,1,0,6,0,1,0
SU307,Mudmare,3,43,8.6,2013,narrative,11,2,16,1,1,0,6,0,1,1
SU308,Endgame,3,42,8.5,2013,ironic,12,2,16,1,1,1,5,0,0,1
SU309,Bad Faith,3,43,8.2,2013,ironic,12,2,14,1,1,1,6,0,1,1
SU310,Stay,3,47,8.4,2013,serious,10,2,11,1,1,0,5,1,0,0
SU311,Buried Secrets,3,43,8.3,2013,humor,9,2,17,0,1,1,3,1,1,0
SU312,Yesterday's Gone,3,43,8.9,2013,romantic,10,2,11,1,1,0,3,0,1,0
SU313,Moot Point,3,42,8.3,2013,humor,9,2,14,0,1,0,4,1,1,1
SU314,Heartburn,3,43,8.8,2013,humor,9,2,13,1,1,1,2,0,1,0
SU315,Know When to Fold 'Em,3,43,8.7,2013,narrative,11,2,14,1,1,1,4,0,1,1
SU316,No Way Out,3,46,9.2,2013,narrative,12,2,14,1,1,1,4,1,1,1
BB101,Pilot,1,58,9,2008,serious,2,1,29,0,0,1,4,1,0,0
BB102,Cat's in the Bag…,1,48,8.6,2008,serious,8,1,11,0,1,1,5,1,0,0
BB103,…And the Bag's in the River,1,48,8.7,2008,serious,7,1,13,1,1,1,4,1,0,0
BB104,Cancer Man,1,48,8.2,2008,somber,8,1,18,0,0,1,6,0,0,1
BB105,Gray Matter,1,48,8.3,2008,serious,10,1,19,0,0,1,8,1,0,0
BB106,Crazy Handful of Nothin',1,47,9.3,2008,serious,7,1,18,0,0,1,7,1,0,0
BB107,A No-Rough-Stuff-Type Deal,1,47,8.8,2008,serious,9,1,24,0,0,1,5,1,0,0
BB201,Seven Thirty-Seven,2,47,8.6,2009,serious,10,1,14,0,1,0,8,1,0,0
BB202,Grilled,2,47,9.3,2009,serious,8,1,12,0,1,0,6,1,0,0
BB203,Bit by a Dead Bee,2,46,8.3,2009,humor,7,1,22,0,0,0,4,0,0,0
BB204,Down,2,47,8.2,2009,serious,9,1,16,0,0,0,5,0,0,1
BB205,Breakage,2,47,8.2,2009,serious,10,1,20,0,0,1,6,1,0,0
BB206,Peekaboo,2,47,8.8,2009,serious,9,2,15,0,0,0,5,0,0,0
BB207,Negro Y Azul,2,47,8.6,2009,serious,9,1,23,0,0,1,7,0,0,0
BB208,Better Call Saul,2,47,9.2,2009,inspirational,11,1,17,0,0,1,8,1,0,0
BB209,4 Days Out,2,47,9.1,2009,serious,8,1,11,1,0,0,5,1,0,0
BB210,Over,2,47,8.4,2009,inspirational,10,1,14,0,0,0,7,0,0,0
BB211,Mandala,2,47,8.9,2009,serious,12,1,26,0,0,1,8,1,0,0
BB212,Phoenix,2,47,9.3,2009,melancholic,12,1,15,1,1,0,4,1,0,1
BB213,ABQ,2,47,9.2,2009,melancholic,11,1,24,1,0,0,7,1,0,1
BB301,No Más,3,47,8.5,2010,somber,9,1,29,0,0,0,6,0,0,1
BB302,Cabolla sin Nombre,3,47,8.6,2010,ironic,9,1,22,0,0,0,8,0,0,1
BB303,I.F.T.,3,47,8.4,2010,ironic,10,1,26,0,0,0,7,0,0,1
BB304,Green Light,3,47,8.2,2010,melancholic,8,1,19,1,0,1,8,1,0,1
BB305,Más,3,47,8.5,2010,serious,7,1,20,1,0,1,5,1,0,0
BB306,Sunset,3,47,9.3,2010,serious,10,1,22,0,0,1,4,1,0,0
BB307,One Minute,3,47,9.6,2010,ironic,11,1,21,0,0,1,7,1,0,1
BB308,I See You,3,47,8.7,2010,serious,9,1,27,1,1,0,8,1,0,1
BB309,Kafkaesque,3,47,8.4,2010,humor,8,2,19,0,0,0,8,1,0,1
BB310,Fly,3,47,7.9,2010,serious,9,2,6,1,0,0,5,0,0,1
BB311,Abiquiu,3,47,8.4,2010,serious,10,2,24,0,0,1,6,1,0,1
BB312,Half Measures,3,47,9.5,2010,somber,13,2,17,1,1,1,9,1,0,1
BB313,Full Measure,3,47,9.7,2010,serious,7,1,19,0,0,1,4,1,0,1
OM101,True Crime,1,35,7.7,2021,narrative,8,7,18,0,1,1,10,1,0,0
